component	chapter	code	kind	preferred	description	inclusions	exclusions	depth
D	S	SD28	neoplasm	Haemangioma or lymphangioma	Vascular or lymphatic tumor, elevated above skin and emptying on pressure. Neoplastic hemangioma are benign localised vascular neoplasm usually occurring in infancy and childhood. It is characterised by the formation of capillary-sized or cavernous vascular channels. The majority of cases are congenital.	angiomatous birthmark	Congenital skin anomaly SD55	0
D	S	SD29	neoplasm	Benign, uncertain or carcinoma in situ neoplasms of skin		benign skin neoplasm;dermoid cyst;premalignant lesion;skin neoplasm not specified as benign or malignant when histology is not available;skin tags	haemangioma SD28;keloid, hyperkeratosis SD99;mole or pigmented nevus SD27;residual haemorrhoidal skin tag DD84;seborrhoeic/senile warts SD80;solar keratosis SD66	0
D	S	SD29.00	neoplasm	Dermatofibroma	A common benign skin tumour which presents as a firm dermal papule or nodule, most commonly on the lower limbs. Histologically it is characterised by coarse, haphazardly arranged collagen bundles and a variable cellular infiltrate including fibrocytes.			1
D	S	SD29.01	neoplasm	Dysplastic naevus	Solitary or multiple, slightly raised, pigmented lesions with irregular borders, usually measuring more than 0.6cm in greatest dimension. Morphologically, there is melanocytic atypia and the differential diagnosis from melanoma may be difficult. Patients are at an increased risk for the development of melanoma.			1
D	S	SD29.02	neoplasm	Keratoacanthoma	A benign, non-neoplastic, usually self-limiting epithelial lesion closely resembling squamous cell carcinoma clinically and histopathologically. It occurs in solitary, multiple, and eruptive forms. The solitary and multiple forms occur on sunlight exposed areas and are identical histologically; they affect primarily white males. The eruptive form usually involves both sexes and appears as a generalized papular eruption.			1
D	S	SD29.03	neoplasm	Granuloma telangiectaticum	Historically called pyogenic granuloma, this is a common benign proliferation of capillary blood vessels which may be induced by trauma or by certain drugs. It presents as one or more bright red papules or nodules often located around the mouth or on a terminal phalanx in relation to the nail. Bleeding, ulceration and crusting frequently occur.			1
D	S	SD35	trauma	Bruise or contusion	Superficial bruise/contusion with intact skin surface.	ecchymosis;haematoma	bruise with broken skin SD36	0
D	S	SD35.00	trauma	Subungual haematoma				1
D	S	SD35.01	trauma	Bruise or contusion of head (excluding face)				1
D	S	SD36	trauma	Abrasion, scratch, blister	An abrasion is a partial thickness wound caused by damage to the skin and can be superficial involving only the epidermis to deep, involving the deep dermis.	bruise if skin broken;graze		0
D	S	SD36.00	trauma	Abrasion, scratch, blister of head (excluding face)				1
D	S	SD37	trauma	Laceration or cut	A cut is typically thought of like a wound caused by a sharp object (such as a knife or a shard of glass). The term laceration implies a torn or jagged wound.	laceration;cut of skin/subcutaneous tissues	bite SD40;bruise with broken skin SD36	0
D	S	SD37.00	trauma	Laceration or cut of head (excluding face)				1
D	S	SD38	trauma	Other specified or unknown skin injury		needle stick;puncture;unknown skin injury	animal or human bite SD40	0
D	S	SD38.00	trauma	Avulsion of nail				1
D	S	SD38.01	trauma	Other specified or unknown skin injury of head (excluding face)				1
D	S	SD39	trauma	Insect or spider bite or sting	When an insect or spider bites, it releases saliva that can cause the skin around the bite to become red, swollen and itchy. The venom from a sting often also causes a swollen, itchy, red mark (a weal) to form on the skin.	non toxic spider bite	bee sting AD44;infected bite SD07;scabies SD13;pediculosis SD14;toxic effects non-medical substance AD44;wasp sting AD44	0
D	S	SD39.00	trauma	Tick bite				1
D	S	SD40	trauma	Animal or human bite		non-toxic snake bite	toxic effects non-medical substance AD44;infected bite or sting SD39	0
D	S	SD41	trauma	Burn or scald		burn of all degrees;external chemical burn;scald of all degrees	sunburn SD66	0
D	S	SD42	trauma	Foreign body in skin		foreign body under nail		0
D	S	SD55	congenital	Congenital anomaly of skin		ichthyosis;salmon patch nevus	haemangioma/lymphangioma SD28	0
D	S	SD55.00	congenital	Port-wine stain of skin	A port-wine stain is defined as a macular telangiectatic area of skin which is present at birth and does not spontaneously involute. Port-wine stains may be localised or extensive and they are often associated with an underlying disorder.			1
D	S	SD55.01	congenital	Strawberry nevus of skin	A dull red, firm, dome-shaped hemangioma, sharply demarcated from surrounding skin, usually located on the head and neck, which grows rapidly and generally undergoes regression and involution without scarring. It is caused by proliferation of immature capillary vessels in active stroma, and is usually present at birth or occurs within the first two or three months of life			1
D	S	SD65	otherDiagnosis	Corn or callosity	Callosities are areas of focal hyperkeratosis due to repeated friction and pressure. A corn is a sharply demarcated callosity occurring over a bony prominence, usually on the foot, and is painful.	clavus	hyperkeratosis SD99;solar hyperkeratosis SD66	0
D	S	SD66	otherDiagnosis	Solar keratosis or sunburn		photosensitivity;polymorphous light eruption;senile keratosis;solar hyperkeratosis	senile warts/seborrhoic keratosis SD80;skin problems due to radiation or medical treatment) AD42	0
D	S	SD66.00	otherDiagnosis	Actinic keratosis	Actinic keratoses (AKs) are focal areas of abnormal keratinocyte proliferation and differentiation induced by chronic exposure to ultraviolet radiation. They are very common on sun-exposed skin of fair-skinned individuals who have had excessive exposure to sunlight. Initially flat scaly papules, they may become significantly elevated from the skin surface by producing dense adherent keratin or as a result of unregulated cellular proliferation which may progress to frank carcinoma in situ or invasive squamous cell carcinoma.			1
D	S	SD66.01	otherDiagnosis	Allergy to sunlight	Chromophore-dependent photodermatosis triggered by UV and visible light.			1
D	S	SD66.02	otherDiagnosis	Idiopathic photodermatosis	Non-allergic skin inflammation caused by cellular damage from reactive oxygen species in the skin produced by the interaction between ultraviolet or visible light and a photoactive substance in contact with the skin.			1
D	S	SD66.03	otherDiagnosis	Photodermatitis	Abnormal responses to sunlight or artificial light due to extreme reactivity of light-absorbing molecules in tissues. It refers almost exclusively to skin photosensitivity, including sunburn, reactions due to repeated prolonged exposure in the absence of photosensitizing factors, and reactions requiring photosensitizing factors such as photosensitizing agents and certain diseases.			1
D	S	SD67	otherDiagnosis	Pilonidal cyst or fistula or both	Pilonidal disease describes a spectrum of clinical presentations, ranging from asymptomatic hair-containing cysts and sinuses to large symptomatic abscesses of the sacrococcygeal area which tend to recur. It is found predominantly in white males in their second and third decades and is thought to result from penetration of hair into the tissues with the formation of sinuses and a foreign-body granulomatous response. Risk factors for pilonidal disease include male gender, Caucasian ethnicity, sitting occupations, obesity, a deep natal cleft, and presence of hair within the natal cleft.	pilonidal abscess	dermoid cyst SD29	0
D	S	SD68	otherDiagnosis	Seborrhoeic dermatitis	Greasy, scaly lesions with underlying erythema on one or more areas of scalp, face, sternum, interscapular areas, around umbilicus and in body folds, not attributable to other skin disease.		seborrhoeic keratosis/warts SD80	0
D	S	SD68.00	otherDiagnosis	Cradle cap	A group of related inflammatory skin disorders affecting predominantly the scalp, face, upper trunk and flexures and characterised by variable amounts of erythema, scale, inflammation and exudation. It is thought that Malassezia yeasts pay an important role in their pathogenesis.			1
D	S	SD69	otherDiagnosis	Atopic eczema, dermatitis	Pruritic exudative lesions with/without lichenification over face and neck, wrists and hands, chest, back of knees and front of elbow.	flexural dermatitis;infantile eczema;neurodermatitis	allergic dermatitis SD70;dermatitis/atopic eczema affecting external auditory meatus HD01;diaper rash SD71	0
D	S	SD70	otherDiagnosis	Contact or allergic dermatitis	Pruritic erythematous lesions related to exposure to chemical substance, friction and unknown causes.	dermatitis NOS;eczema NOS;intertrigo;plant sting;skin allergy	benign, uncertain or carcinoma in situ neoplasms of skin AD46;atopic eczema SD69;contact and other dermatitis of eyelid FD02;contact/other dermatitis of external auditory meatus HD01;dermatitis artefacta/neurodermatitis SD99;diaper rash SD71;urticaria SD78	0
D	S	SD70.00	otherDiagnosis	Contact dermatitis	A type of acute or chronic skin reaction in which sensitivity is manifested by reactivity to materials or substances coming in contact with the skin. It may involve allergic or non-allergic mechanisms.			1
D	S	SD70.01	otherDiagnosis	Ingestion dermatitis due to drugs				1
D	S	SD71	otherDiagnosis	Diaper rash	Dermatitis, primarily of the diaper area and sparing creases. A type of irritant dermatitis seen most frequently in infants localised to the area in contact with a napkin (diaper) and occurring most often as a reaction to prolonged contact with urine, faeces, or retained soap or detergent.		diaper candidiasis SD11.02	0
D	S	SD72	otherDiagnosis	Psoriasis	Plaques with silvery scales on knees, elbows or scalp and/or stippled/pitted nails. Psoriasis is a common, chronic, relapsing, inflammatory skin disorder characterised by abnormal epidermal keratinization and hyperproliferation. It has a strong genetic component and affects some 2% of the populations of many regions of the world. Up to 10-20% of patients with psoriasis also experience an inflammatory polyarthritis (psoriatic arthritis).			0
